Text,Image
"Where Khullona was herding goats in the forest of Aruna.
Srimonto (also) rescued his father and brought him home.","[[[252 255 255]
  [252 255 255]
  [252 254 251]
  ...
  [ 33  41  30]
  [ 35  40  34]
  [ 38  38  40]]

 [[233 219 172]
  [234 220 173]
  [235 221 174]
  ...
  [ 57  63  53]
  [ 54  55  50]
  [ 46  44  45]]

 [[183 154  60]
  [185 157  60]
  [188 160  63]
  ...
  [ 64  65  59]
  [ 64  63  58]
  [ 61  56  53]]

 ...

 [[252 250 251]
  [150 153 146]
  [ 27  39  19]
  ...
  [ 49  47  32]
  [162 158 121]
  [184 181 126]]

 [[253 251 254]
  [180 183 176]
  [ 69  81  57]
  ...
  [157 153 152]
  [220 213 194]
  [223 218 180]]

 [[255 254 255]
  [184 187 180]
  [ 72  84  60]
  ...
  [247 243 242]
  [255 255 236]
  [255 251 213]]]"
"And installing the sacred water pot, introduced the custom of Durga Puja (worship).
Garlanded with hibiscus and jasmine
Shankar Bhabani (Durga) seemed to beckon from afar.

And here ends my recitation.
I, the writer, am Bahar Chitrakar of Medinipur. 
Ah, Medinipur is where I live.","[[[ 70  63  37]
  [190 187 110]
  [245 241 134]
  ...
  [ 73  80  73]
  [ 71  78  71]
  [ 69  76  69]]

 [[ 72  64  41]
  [192 188 114]
  [246 242 135]
  ...
  [ 71  78  71]
  [ 71  78  71]
  [ 73  80  73]]

 [[ 68  57  39]
  [188 184 113]
  [245 240 136]
  ...
  [ 68  75  67]
  [ 70  77  69]
  [ 74  81  73]]

 ...

 [[212 188 102]
  [217 202 101]
  [228 219 126]
  ...
  [200 226 225]
  [144 168 168]
  [ 77  99  97]]

 [[213 189 101]
  [217 200  96]
  [226 216 121]
  ...
  [178 209 211]
  [174 204 206]
  [178 202 202]]

 [[210 185  95]
  [210 193  89]
  [222 212 117]
  ...
  [148 181 186]
  [153 186 191]
  [161 187 186]]]"
"Hail Durga, Ma Tara, destroyer of sorrows.
Invincible as the strong southern winds, she is Nagendranandini (daughter of the king of mountains).
As Ma Chandi, her ten arms stretch in ten directions.
Her third eye shines brightly in the middle of her forehead.
Lakshmi, with Saraswati on her left, Kartik and Ganesh
Along with the lion, the Asura, Joya and Bijoya accompany the Mother. ","[[[ 98  63  57]
  [ 96  55  53]
  [ 91  49  50]
  ...
  [ 94  85  90]
  [ 72  67  73]
  [ 81  76  83]]

 [[ 90  61  55]
  [ 99  59  59]
  [100  60  60]
  ...
  [ 85  78  85]
  [ 83  76  83]
  [ 81  71  80]]

 [[ 63  42  37]
  [ 88  57  55]
  [ 98  64  63]
  ...
  [ 87  82  89]
  [ 89  78  86]
  [ 83  66  76]]

 ...

 [[ 82  54  53]
  [ 55  39  39]
  [ 48  44  45]
  ...
  [ 94  83  87]
  [102  81  86]
  [115  88  97]]

 [[ 96  62  63]
  [ 53  42  38]
  [ 49  48  44]
  ...
  [ 78  73  79]
  [122  84  83]
  [166  97  90]]

 [[ 99  65  66]
  [ 52  41  37]
  [ 46  45  41]
  ...
  [ 78  73  79]
  [123  85  84]
  [166  97  90]]]"
"One day, the goddess Durga bestowed her grace
And revealed a cache of precious gems in a pomegranate grove. 
Kalketu found the treasure under the pomegranate tree
(With this) he cleared the forest named Gujarat and established a town.
Two more pots of gems remained.
Which Kalketu filled into jars.
Sealing them carefully, he carried the jars home
Where the beautiful Khullona (Phullora) waited at the doorway of her thatched hut
For twelve years, the ascetic had been languishing in jail. 
Meanwhile, Khullona had given birth to (their son) Srimonto
Srimonto grew up to be a bright young man
And wished to go out in search of his father.
","[[[ 53  53  51]
  [ 44  44  44]
  [ 36  35  40]
  ...
  [ 61  59  70]
  [ 59  55  69]
  [ 78  74  88]]

 [[ 48  48  46]
  [ 45  45  45]
  [ 39  38  43]
  ...
  [ 66  66  74]
  [ 70  70  78]
  [ 79  79  87]]

 [[ 41  41  39]
  [ 44  44  44]
  [ 43  42  47]
  ...
  [ 73  76  81]
  [ 65  68  73]
  [ 81  86  90]]

 ...

 [[160  72  68]
  [164  75  69]
  [142  73  66]
  ...
  [ 69  71  86]
  [ 90  96 108]
  [ 98 107 112]]

 [[157  69  65]
  [162  73  67]
  [140  71  64]
  ...
  [ 85  88 107]
  [ 94  94 104]
  [ 80  80  78]]

 [[157  69  65]
  [162  73  67]
  [140  71  64]
  ...
  [ 82  85 104]
  [ 90  90 100]
  [ 74  74  72]]]"
"“You are my only son, the light of my life,” (cried Khullona) 
“If you leave for even a moment, I shall feel abandoned. “
But, if you must go, do pray to Durga.”
On being invoked, Chandi (Durga) appeared
And Khullona handed over Srimonto to the goddess. 
Shouting “Hail Durga,” Srimonto boarded the boat
And the boatmen set sail.
They were sailing peacefully over the waters
When at Magora, struck by misfortune, they were caught in a terrible storm. 
(And Srimonto witnessed a strange sight:) A beautiful lady seated on a lotus was swallowing an elephant. 
She was Kamal Kamini (a form of Durga) atop a hundred petalled lotus.
She was the mother of Ganesh, swallowing an elephant.
Srimonto, moved by this wondrous sight
Bowed and offered his salutations a million times.

Finally, the boat docked at Ratnamala quay to the sound of kettledrums.
Seeing them, the guards and wardens of the kingdom whispered among themselves.
It seemed as if everyone was looting the kingdom 
And the king was kept totally in the dark.
","[[[ 62  44  42]
  [ 45  44  39]
  [ 41  46  42]
  ...
  [164  98  84]
  [148  90  78]
  [152  98  86]]

 [[ 66  40  41]
  [ 48  38  36]
  [ 46  45  43]
  ...
  [ 96  66  74]
  [ 86  60  71]
  [ 90  69  78]]

 [[115  76  77]
  [ 65  45  44]
  [ 41  32  33]
  ...
  [ 77  73  90]
  [ 74  73  91]
  [ 78  79  99]]

 ...

 [[123  73  64]
  [131  63  52]
  [145  65  54]
  ...
  [ 85  87 100]
  [ 87  85  98]
  [ 99  88  94]]

 [[131  81  72]
  [134  66  55]
  [141  61  50]
  ...
  [ 79  81  94]
  [ 88  86  99]
  [110  99 105]]

 [[140  85  78]
  [143  70  61]
  [146  64  53]
  ...
  [ 85  87 100]
  [101  99 112]
  [119 109 117]]]"
"The king Shalbahon was seated on a jewelled throne. 
Srimonto stood before him with folded hands
And said, “In your kingdom, O king, resides Kamal Kamini. 
“I witnessed this woman swallowing an elephant.”
The king ordered Srimonto to show him this sight.
And promised him half of his kingdom and his daughter’s hand in marriage in return. 
But if Srimonto failed to show him the scene, the king warned 
He would be beheaded at the execution ground in the south. 

The king travelled to Kalidaho to see Kamal Kamini.
But to Srimonto’s embarrassment, the vision did not appear. 
The goddess Bhagoboti stayed hidden among the lotuses.
","[[[ 29  32  39]
  [ 34  35  37]
  [ 31  31  29]
  ...
  [ 64  67  72]
  [ 61  56  62]
  [ 50  38  42]]

 [[ 29  32  39]
  [ 34  34  36]
  [ 31  31  29]
  ...
  [ 54  55  60]
  [ 63  56  63]
  [ 67  55  59]]

 [[ 29  32  39]
  [ 32  32  34]
  [ 32  31  29]
  ...
  [ 63  64  68]
  [ 71  65  69]
  [ 65  54  60]]

 ...

 [[ 41  40  45]
  [ 43  42  47]
  [ 40  39  44]
  ...
  [118 113 120]
  [ 83  70  79]
  [ 93  76  86]]

 [[ 45  44  49]
  [ 45  44  49]
  [ 40  39  44]
  ...
  [ 92  85  93]
  [ 76  63  72]
  [105  85  94]]

 [[ 37  36  41]
  [ 38  37  42]
  [ 37  36  41]
  ...
  [ 88  83  89]
  [105  94 100]
  [154 139 146]]]"
"Wishing to upset Srimonto, she did not reveal herself.

The enraged king summoned the warden and had Srimonto chained.
Bound in chains and in pain, Srimonto started weeping. 
And as he wept, he invoked Durga
“Oh Shankari,” he cried, “I shall die, but you seem to be unconcerned 
“That your name, Trailokyotarini will be tarnished.”
Chandi, who in the form of a kite, was flying in the sky (heard his prayer). 
She assumed the garb of an aged Brahmin woman and appeared before Srimonto.

His chains fell away from him
And a tearful Srimonto cried out in relief.
With her eighteen arms Mother (Chandi) stood before him at the execution ground. 
“Whose home have you visited, Ma? Who worshipped you?
“My life has become worthwhile, Mother, having seen your eighteen arms.”

","[[[ 54  45  46]
  [ 64  50  49]
  [ 95  75  68]
  ...
  [179 145 117]
  [174 140 112]
  [169 135 107]]

 [[ 43  40  47]
  [ 48  42  46]
  [ 69  57  57]
  ...
  [184 150 122]
  [179 145 117]
  [171 137 109]]

 [[ 43  42  48]
  [ 44  39  45]
  [ 51  42  45]
  ...
  [192 158 130]
  [186 152 124]
  [175 141 113]]

 ...

 [[ 99  66  57]
  [166 129 113]
  [171 130 112]
  ...
  [181 147 119]
  [154 125 107]
  [115  86  80]]

 [[ 59  55  56]
  [ 85  76  71]
  [ 76  63  55]
  ...
  [180 146 118]
  [155 126 108]
  [107  78  72]]

 [[ 27  23  24]
  [ 38  29  24]
  [ 41  28  20]
  ...
  [173 139 111]
  [146 117  99]
  [ 98  69  63]]]"
"“I hereby grant you a boon, Srimonto”, (Durga replied)
“You shall go and marry the daughter of King Shalbahon.”
Thus, Srimonto married the princess Sushila.

After the wedding, Srimonto returned home

Where Khullona was herding goats in the forest of Aruna.
Srimonto (also) rescued his father and brought him home.

And installing the sacred water pot, introduced the custom of Durga Puja (worship).
Garlanded with hibiscus and jasmine
Shankar Bhabani (Durga) seemed to beckon from afar.

And here ends my recitation.
I, the writer, am Bahar Chitrakar of Medinipur. 
Ah, Medinipur is where I live.","[[[ 33  32  37]
  [ 32  31  36]
  [ 35  34  39]
  ...
  [ 57  49  62]
  [ 72  68  85]
  [ 74  71  92]]

 [[ 30  31  36]
  [ 29  30  35]
  [ 31  32  37]
  ...
  [ 62  55  63]
  [ 67  65  78]
  [ 70  71  89]]

 [[ 28  26  27]
  [ 26  24  25]
  [ 27  25  26]
  ...
  [ 70  60  61]
  [ 62  61  69]
  [ 66  70  82]]

 ...

 [[ 30  29  34]
  [ 30  29  34]
  [ 30  29  34]
  ...
  [ 99  79  90]
  [104  79  82]
  [103  86  79]]

 [[ 28  27  32]
  [ 29  28  33]
  [ 30  29  34]
  ...
  [ 97  89 104]
  [ 66  61  65]
  [ 69  79  71]]

 [[ 28  27  32]
  [ 29  28  33]
  [ 30  29  34]
  ...
  [ 97  89 104]
  [ 66  61  65]
  [ 69  79  71]]]"
"(Standing) under a tree, Krishna played his flute.
Upon hearing the melody, the gopis of Braja can barely stay still. 
Some dance, some sing, while the rest chant (the name of) Hari.
With Radha’s name on their lips, the sakhis roll on the ground in ecstasy.
The lord (Krishna) has dressed his turban with a peacock feather. 
Garlands from the different flowers of Braja adorn his head 
And to the tinkling of cymbals and wooden clappers, a Bakul flower is added atop his head.
On his feet, the Lord has tied anklets.
","[[[ 84  83  29]
  [ 86  86  32]
  [ 91  94  37]
  ...
  [185 155   9]
  [211 175  16]
  [214 164   0]]

 [[  4   4   0]
  [  6   6   0]
  [  0   1   0]
  ...
  [100  93  12]
  [143 138  34]
  [177 165  17]]

 [[ 40  51  37]
  [ 21  31  20]
  [  0   5   0]
  ...
  [  1  23   2]
  [ 34  58  36]
  [114 129  88]]

 ...

 [[ 19  36  17]
  [ 16  31   2]
  [  7  26   4]
  ...
  [  0  22   6]
  [ 63  71  32]
  [223 202 109]]

 [[ 10  25   4]
  [  9  23   0]
  [ 10  31  16]
  ...
  [  0  12   9]
  [ 70  82  62]
  [240 226 155]]

 [[ 15  27  17]
  [  3  15   1]
  [  1  19  21]
  ...
  [  0   7  11]
  [ 72  87  80]
  [243 234 179]]]"
"The Lord hurried to Bidur’s abode. 
Raja Duryadhana covered his mouth with a cloth and sniggered.
“Bidur, are you home? O Bidur are you home? 
“For three days I have fasted at your abode.
Bidur, the Vaishnav was so absorbed in the adoration of Hari 
That he put a banana peel into Krishna’s mouth, discarding the banana.
“If I am born a human in my next life 
I shall sing praises of Krishna with all my heart.”
","[[[228 195  38]
  [216 183  44]
  [226 192  59]
  ...
  [ 60  67  33]
  [  0  23   2]
  [ 17  28  11]]

 [[214 184  34]
  [219 190  60]
  [227 200  85]
  ...
  [ 61  60  39]
  [  5  28  20]
  [ 25  29  12]]

 [[246 225  97]
  [237 218 113]
  [217 200 118]
  ...
  [ 49  51  14]
  [  0  18   0]
  [ 22  30   0]]

 ...

 [[ 36  43  25]
  [  6  20   0]
  [ 28  54  17]
  ...
  [  8  24  13]
  [  0   5   4]
  [  2   0  13]]

 [[ 35  39  24]
  [ 11  22   6]
  [  8  30   9]
  ...
  [  7  24  14]
  [  1  13  11]
  [ 13   4  23]]

 [[ 15  17   3]
  [  8  15   7]
  [  0   6   0]
  ...
  [  8  26   2]
  [  7  18   1]
  [ 18   7  13]]]"
"Ganga came on a shark, Yama on a buffalo
Govinda came on Garuda; the king was disturbed.
","[[[  5  42   0]
  [ 36  66  38]
  [  0  21  22]
  ...
  [  3  15   5]
  [ 14  13   8]
  [  7  18   4]]

 [[ 32  69  15]
  [ 40  71  40]
  [  0  15  14]
  ...
  [  9  21  11]
  [ 18  17  12]
  [ 10  21   7]]

 [[ 53  92  37]
  [ 37  68  36]
  [  0  18  14]
  ...
  [  6  20   7]
  [ 15  16   8]
  [ 12  25   8]]

 ...

 [[242 203  12]
  [240 198  15]
  [237 196   6]
  ...
  [ 13  22   5]
  [ 30  53   7]
  [ 24  40   1]]

 [[243 204  11]
  [242 200  17]
  [237 196  10]
  ...
  [ 19  28  11]
  [ 29  52   8]
  [ 24  40   4]]

 [[238 199   6]
  [240 198  16]
  [240 198  16]
  ...
  [ 22  31  14]
  [ 28  51   9]
  [ 23  38   5]]]"
"(While) the Sun and the Moon rose at the abode of Kamsa
To Daivaki’s womb,the Lord went to be born. 
Mother Daivaki was fast asleep on her bed.
Standing near her head, the Lord caused her to dream. 
O Mother Daivaki, why do you slumber so deep?
Govinda seeks shelter in your womb. 
In her slumber, the queen narrated a story:
“In my womb, my dear, there is no space left.
“To six sons, I had given birth, but Kamsa has slayed them all.
“Stricken with grief, I have been weeping ever since.”
In the form of a white fly, (Govinda) crept into her womb.
The first month passed; the second month too.
Upon the tenth day of the tenth month the news spread.
On the eighth lunar day of Bhadra, Govinda was born.
Daivaki had given birth to Lord Narayana. 
","[[[ 94 109   8]
  [106 142   8]
  [ 45  72  29]
  ...
  [  9  32  24]
  [ 11  27  16]
  [ 16  37  20]]

 [[110 124  10]
  [ 91 128   0]
  [ 16  40  18]
  ...
  [ 10  37  30]
  [ 13  30  20]
  [ 14  35  18]]

 [[117 130   0]
  [ 84 120   0]
  [  0  12  18]
  ...
  [  3  34  26]
  [ 10  30  19]
  [ 12  35  19]]

 ...

 [[ 47  48   0]
  [  9   8   4]
  [  6  10  37]
  ...
  [  0  10   1]
  [  5  15   7]
  [ 17  30  20]]

 [[158 154  46]
  [ 39  35   0]
  [  0   0  12]
  ...
  [  0   9   4]
  [  9  18  15]
  [  5  14   9]]

 [[238 233  81]
  [ 85  82  13]
  [  9  12   5]
  ...
  [ 12  21  20]
  [  3  12  11]
  [  6  12  12]]]"
"Picking up his son still covered in birth fluid
Basudeva gently kissed his face. 
“I have walked and walked; much time has passed.”
The waves of the dark Yamuna (Kalindi) soared in a tumult. 
The water, earlier knee-high, rose to the height of a bamboo pole.
Lord Krishna slipped (from his father’s arms) and started floating upon a lotus leaf.
“O, what has happened! This wretched fate of mine! 
“What a catastrophe I have to deal with at this advanced age of mine.” 
Basudeva’s lamentations yielded (Krishna’s) sympathy. 
Keeping two hands with the river (the child) climbed back on to his lap.
","[[[ 86  87  56]
  [  4   4   0]
  [  1   2   0]
  ...
  [ 11  14  29]
  [  0   1   0]
  [ 38  43  13]]

 [[226 212 167]
  [160 146 109]
  [ 61  50  22]
  ...
  [  8  14  28]
  [  3   5   2]
  [ 50  55  25]]

 [[211 179 118]
  [226 196 142]
  [191 167 121]
  ...
  [  7  13  27]
  [  3   8   4]
  [ 51  56  26]]

 ...

 [[255 226  88]
  [137 127  40]
  [ 32  38   0]
  ...
  [  4  11   4]
  [ 15  30  23]
  [  2  13   0]]

 [[253 225  82]
  [140 130  41]
  [ 41  47   0]
  ...
  [ 10  22  12]
  [ 16  32  21]
  [ 14  23   4]]

 [[248 220  74]
  [133 124  29]
  [ 38  45   0]
  ...
  [ 12  30  16]
  [ 19  33  16]
  [ 24  30   4]]]"
